,name,document_frequency
855,pslldq,26
856,punpcklqdq,31
857,movntdq,26
858,vcvtps2dq,12
859,pinsrb,28
860,minsd,14
861,maxsd,19
862,divpd,14
863,movupd,21
864,pmovsxwd,3
865,pmulld,4
866,pmaxsd,5
867,pabsd,10
868,pmovsxdq,1
869,cmpeqpd,5
870,roundpd,1
871,cmpunordpd,1
872,cmpnltpd,3
873,vmovlhps,11
874,vcmpunordps,1
875,ptest,3
876,lddqu,11
877,cmpleps,14
878,cvttps2dq,22
879,pfrcpit2,21
880,vpandd,2
881,vpextrw,15
882,vcmpngtsd,1
883,vphaddwq,2
884,vlddqu,6
885,mfence,18
886,cmpneqpd,16
887,movdq2q,6
888,cmpnless,4
889,pblendw,1
890,mpsadbw,1
891,vmaskmovps,7
892,vfmaddpd,2
893,vmaskmovpd,3
894,xsha1,5
895,lfence,2
896,pinsrd,10
897,vpmovsxbd,1
898,vmovmskps,16
899,vpinsrq,2
900,blsr,1
901,vinserti128,7
902,phsubd,12
903,vrndscalesd,1
904,vfmsub213ps,3
905,sha256msg1,38
906,vfmaddss,6
907,vpcomud,6
908,bextr,8
909,xsetbv,4
910,crc32,7
911,vmcall,15
912,vmmcall,6
913,aesimc,12
914,aeskeygenassist,12
915,vperm2i128,7
916,vbroadcastss,3
917,vpshld,11
918,vpshlq,11
919,vpshab,5
920,vpalignr,11
921,vfnmsub231pd,8
922,cmpnlesd,2
923,cmpltss,3
924,vpshlb,11
925,vcmpnle_uqss,1
926,vcmpeqss,11
927,xstorerng,10
928,pcmpestri,1
929,vcmpord_spd,1
930,pextrd,10
931,cmpss,12
932,sarx,3
933,haddps,6
934,xend,6
935,xtest,4
936,vpsrldq,8
937,pclmulqdq,8
938,vpblendmw,1
939,vpcomfalseb,1
940,vpcomltb,1
941,vpcomgtud,1
942,vpcomltd,2
943,sha1msg2,9
944,maskmovdqu,4
945,cmplesd,2
946,cmpless,2
947,cmpnltss,1
948,cmpeqss,1
949,vcvtdq2ps,9
950,rorx,4
951,andn,3
952,vfmsubps,1
953,vfmsub231pd,1
954,vblendps,2
955,mulx,2
956,pext,2
957,vpperm,4
958,vpcomeqb,1
959,pcmpeqq,1
960,pmuldq,1
961,vprotq,8
962,pextrb,1
963,vpclmulqdq,1
964,vpextrb,1
965,vpextrd,1
966,pmaxuw,2
967,pminsd,2
968,pmovzxwd,2
969,pmovzxbw,1
970,pmovzxbd,3
971,packusdw,1
972,vmovshdup,8
973,vextractf128,1
974,vpermilps,2
975,vinsertf128,1
976,vfmsubadd231pd,2
977,psignb,20
978,vcmplesd,3
979,vfnmsubss,2
980,vpinsrd,1
981,vpmovzxbw,3
982,vcmple_oqpd,2
983,vsqrtps,14
984,skinit,16
985,vpminsd,2
986,vpermil2ps,26
987,vpshaq,5
988,vcmpfalse_osss,1
989,vpcomd,7
990,vucomiss,20
991,vcmpnge_uqss,1
992,vpmacswd,12
993,cvtpd2dq,6
994,vcmpunord_spd,1
995,haddpd,10
996,cmplepd,4
997,vcmpnle_uqps,2
998,vfnmsub132ss,14
999,cmppd,7
1000,vroundsd,3
1001,stgi,2
1002,knotw,1
1003,vfmsub132ss,2
1004,vfnmaddpd,25
1005,vpmaxuw,10
