,name,document_frequency
731,phaddd,4
732,phsubsw,2
733,vzeroupper,34
734,mulsd,145
735,encls,1
736,movshdup,2
737,pshufd,181
738,vpmaxuq,1
739,vfmadd213ss,2
740,vpgatherdd,1
741,swapgs,8
742,vphsubw,1
743,movq2dq,6
744,blcfill,1
745,cmpneqss,2
746,enclu,4
747,xcryptctr,2
748,minpd,7
749,korb,4
750,cmpltps,10
751,vmovntps,5
752,vpcomb,2
753,mwait,2
754,vcmpfalsess,1
755,kandnb,3
756,vmovd,10
757,vpshufhw,3
758,vfmaddsd,1
759,tzcnt,41
760,vmovsldup,1
761,andnpd,21
762,vcmpfalse_ospd,1
763,vfnmadd213pd,1
764,vpmadcswd,2
765,vperm2f128,2
766,vpxord,1
767,cmpunordps,3
768,vfmaddps,1
769,vmpsadbw,2
770,invlpga,4
771,sha1nexte,5
772,vpmacsswd,2
773,vfmsub231ss,1
774,vgatherqps,1
775,cvtss2si,5
776,pshuflw,105
777,xcryptcbc,8
778,vcvtpd2dqx,2
779,sha1msg1,6
780,sqrtpd,4
781,vmovdqu,17
782,mulss,48
783,rsqrtss,11
784,rcpss,12
785,minss,13
786,vcmple_oqsd,1
787,vfmsubsd,1
788,vfmaddsubps,5
789,vfmsubaddps,2
790,vzeroall,8
791,kandw,2
792,psignd,2
793,vcmpnlt_uqpd,1
794,vbroadcastsd,1
795,vpsrlvd,1
796,vpermilpd,2
797,cmpeqps,10
798,cmpnltps,1
799,vfmsubss,1
800,unpcklpd,127
801,vpcomub,6
802,vcvtsd2si,6
803,vmovhlps,2
804,aesdec,18
805,aesdeclast,18
806,aesenc,20
807,aesenclast,19
808,vfmsub213pd,2
809,vpsignb,1
810,vfmadd231ps,2
811,vmresume,2
812,vcvttpd2dq,3
813,addpd,120
814,vpmaxsb,3
815,vpminsb,1
816,sqrtsd,22
817,vphaddwd,1
818,vfnmsub213sd,1
819,vprotw,4
820,vpminud,2
821,vcmpunord_ssd,1
822,pfnacc,7
823,vcmpunordpd,1
824,sha256rnds2,7
825,vfnmaddps,3
826,vmsave,2
827,kmovb,1
828,vpmovmskb,32
829,vpslldq,8
830,movmskpd,6
831,vpcmpgtq,1
832,vblendpd,2
833,kxnorb,2
834,vptest,1
835,vmovq,4
836,cvtdq2pd,111
837,vpackusdw,1
838,subss,30
839,cmpltsd,16
840,cvtsi2sd,93
841,cmpeqsd,85
842,shufpd,19
843,pcmpistri,83
844,vcmpneq_oqpd,1
845,movntss,1
846,vpblendvb,1
847,vmovntpd,1
848,vfnmsubps,1
849,vdppd,1
850,pabsb,2
851,vphaddd,1
852,psrldq,93
853,vprotd,4
854,vpcomltuw,1
855,pslldq,26
856,punpcklqdq,26
857,movntdq,25
858,vcvtps2dq,2
859,pinsrb,28
860,minsd,10
861,maxsd,13
862,divpd,6
863,movupd,8
864,pmovsxwd,3
865,pmulld,4
866,pmaxsd,5
867,pabsd,2
868,pmovsxdq,1
869,cmpeqpd,4
870,roundpd,1
871,cmpunordpd,1
872,cmpnltpd,3
873,vmovlhps,3
874,vcmpunordps,1
875,ptest,3
876,lddqu,8
877,cmpleps,9
878,cvttps2dq,6
879,pfrcpit2,8
880,vpandd,1
881,vpextrw,2
882,vcmpngtsd,1
883,vphaddwq,1
884,vlddqu,1
885,mfence,12
886,cmpneqpd,16
887,movdq2q,6
888,cmpnless,4
889,pblendw,1
890,mpsadbw,1
891,vmaskmovps,3
892,vfmaddpd,1
893,vmaskmovpd,1
894,xsha1,4
895,lfence,2
896,pinsrd,10
897,vpmovsxbd,1
898,vmovmskps,3
899,vpinsrq,2
